Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2017-08-21,6241.209961,6308.720215,6241.209961,6265.640137,6265.640137,6190600000,IXIC
2017-08-28,6286.009766,6449.649902,6228.72998,6435.330078,6435.330078,8282150000,IXIC
2017-09-04,6414.819824,6426.509766,6334.589844,6360.189941,6360.189941,7576920000,IXIC
2017-09-11,6411.180176,6464.27002,6410.709961,6448.470215,6448.470215,10136760000,IXIC
2017-09-18,6460.100098,6477.77002,6400.810059,6426.919922,6426.919922,9148560000,IXIC
2017-09-25,6403.109863,6497.97998,6343.959961,6495.959961,6495.959961,9826840000,IXIC
2017-10-02,6506.080078,6590.180176,6484.140137,6590.180176,6590.180176,9502930000,IXIC
2017-10-09,6597.370117,6616.580078,6561.779785,6605.799805,6605.799805,8877000000,IXIC
2017-10-16,6622.549805,6640.029785,6558.529785,6629.049805,6629.049805,8629420000,IXIC
2017-10-23,6641.569824,6708.129883,6517.930176,6701.259766,6701.259766,10354490000,IXIC
2017-10-30,6693.77002,6765.140137,6677.149902,6764.439941,6764.439941,10572340000,IXIC
2017-11-06,6763.299805,6795.52002,6687.279785,6750.939941,6750.939941,10691880000,IXIC
2017-11-13,6727.390137,6806.669922,6667.310059,6782.790039,6782.790039,9857290000,IXIC
2017-11-20,6789.279785,6890.02002,6779.490234,6889.160156,6889.160156,6121150000,IXIC
2017-11-27,6889.910156,6914.189941,6737.160156,6847.589844,6847.589844,10978820000,IXIC
2017-12-04,6897.129883,6899.22998,6734.129883,6840.080078,6840.080078,10142120000,IXIC
2017-12-11,6847.640137,6945.819824,6844.879883,6936.580078,6936.580078,11095710000,IXIC
2017-12-18,6980.399902,7003.890137,6935.419922,6959.959961,6959.959961,9444840000,IXIC
2017-12-25,6928.919922,6955.379883,6903.390137,6903.390137,6903.390137,5596930000,IXIC
2018-01-01,6937.649902,7137.040039,6924.080078,7136.560059,7136.560059,8201500000,IXIC
2018-01-08,7135.379883,7265.259766,7111.52002,7261.060059,7261.060059,10267410000,IXIC
2018-01-15,7307.189941,7336.379883,7205.930176,7336.379883,7336.379883,8638700000,IXIC
2018-01-22,7338.040039,7505.77002,7332.810059,7505.77002,7505.77002,10623380000,IXIC
2018-01-29,7484.470215,7500.609863,7238.180176,7240.950195,7240.950195,11554350000,IXIC
2018-02-05,7165.959961,7277.359863,6630.669922,6874.490234,6874.490234,14468560000,IXIC
2018-02-12,6936.680176,7303.259766,6879.689941,7239.470215,7239.470215,10399080000,IXIC
2018-02-19,7209.029785,7338.640137,7194.839844,7337.390137,7337.390137,7648540000,IXIC
2018-02-26,7373.299805,7438.089844,7084.830078,7257.870117,7257.870117,11172700000,IXIC
2018-03-05,7222.890137,7560.810059,7205.310059,7560.810059,7560.810059,10946190000,IXIC
2018-03-12,7581.040039,7637.27002,7463.189941,7481.990234,7481.990234,11886280000,IXIC
2018-03-19,7419.200195,7421.22998,6992.669922,6992.669922,6992.669922,11021080000,IXIC
2018-03-26,7125.200195,7255.540039,6901.069824,7063.450195,7063.450195,9725220000,IXIC
2018-04-02,7016.169922,7112.379883,6805.959961,6915.109863,6915.109863,11452510000,IXIC
2018-04-09,6971.450195,7183.620117,6944.959961,7106.649902,7106.649902,9936540000,IXIC
2018-04-16,7153.870117,7319.580078,7115.850098,7146.129883,7146.129883,9488140000,IXIC
2018-04-23,7173.990234,7197.149902,6926.970215,7119.799805,7119.799805,10067980000,IXIC
2018-04-30,7133.950195,7228.259766,6991.140137,7209.620117,7209.620117,10428300000,IXIC
2018-05-07,7241.819824,7417.669922,7224.700195,7402.879883,7402.879883,10552780000,IXIC
2018-05-14,7429.450195,7458.419922,7320.970215,7354.339844,7354.339844,10171780000,IXIC
2018-05-21,7406.339844,7452.850098,7334.620117,7433.850098,7433.850098,9587950000,IXIC
2018-05-28,7398.509766,7557.379883,7354.290039,7554.330078,7554.330078,8860030000,IXIC
2018-06-04,7570.080078,7697.410156,7561.200195,7645.509766,7645.509766,10663030000,IXIC
2018-06-11,7647.240234,7768.600098,7642.870117,7746.379883,7746.379883,11354490000,IXIC
2018-06-18,7692.959961,7806.600098,7635.72998,7692.819824,7692.819824,12912270000,IXIC
2018-06-25,7631.120117,7639.72998,7419.560059,7510.299805,7510.299805,11167570000,IXIC
2018-07-02,7451.899902,7695.810059,7443.100098,7688.390137,7688.390137,6396830000,IXIC
2018-07-09,7731.740234,7843.52002,7696.580078,7825.97998,7825.97998,8964210000,IXIC
2018-07-16,7831.740234,7867.149902,7749.609863,7820.200195,7820.200195,8967820000,IXIC
2018-07-23,7806.930176,7933.310059,7698.959961,7737.419922,7737.419922,10011170000,IXIC
2018-07-30,7735.27002,7824.060059,7604.240234,7812.009766,7812.009766,10662010000,IXIC
2018-08-06,7809.540039,7923.350098,7801.879883,7839.109863,7839.109863,10651740000,IXIC
2018-08-13,7848,7888.660156,7732.689941,7816.330078,7816.330078,9941250000,IXIC
2018-08-20,7834.370117,7949.709961,7787.899902,7945.97998,7945.97998,8892550000,IXIC
2018-08-27,7989.640137,8133.299805,7976.600098,8109.540039,8109.540039,10091790000,IXIC
2018-09-03,8087.950195,8104.069824,7873.930176,7902.540039,7902.540039,9341360000,IXIC
2018-09-10,7939.569824,8040.830078,7880.919922,8010.040039,8010.040039,11072340000,IXIC
2018-09-17,7992.209961,8057.259766,7890.069824,7986.959961,7986.959961,12752830000,IXIC
2018-09-24,7939.379883,8071.560059,7912.470215,8046.350098,8046.350098,11379260000,IXIC
2018-10-01,8091.5,8107.379883,7715.970215,7788.450195,7788.450195,13689380000,IXIC
2018-10-08,7747.100098,7799.75,7274.040039,7496.890137,7496.890137,13565590000,IXIC
2018-10-15,7473.330078,7670.490234,7400.069824,7449.029785,7449.029785,12215040000,IXIC
2018-10-22,7486.740234,7520.540039,7057,7167.209961,7167.209961,13660360000,IXIC
2018-10-29,7272.419922,7466.529785,6922.830078,7356.990234,7356.990234,13869380000,IXIC
2018-11-05,7344.080078,7572.930176,7255.879883,7406.899902,7406.899902,12010600000,IXIC
2018-11-12,7364.049805,7371.089844,7072.359863,7247.870117,7247.870117,12120210000,IXIC
2018-11-19,7217.240234,7224.120117,6830.759766,6938.97998,6938.97998,7835970000,IXIC
2018-11-26,7026.5,7332.790039,7003.120117,7330.540039,7330.540039,10995080000,IXIC
2018-12-03,7486.129883,7486.509766,6945.27002,6969.25,6969.25,10565860000,IXIC
2018-12-10,6959.629883,7197.290039,6878.990234,6910.660156,6910.660156,11369950000,IXIC
2018-12-17,6886.459961,6931.810059,6304.629883,6332.990234,6332.990234,15952800000,IXIC
2018-12-24,6278.490234,6684.180176,6190.169922,6584.52002,6584.52002,8821170000,IXIC
2018-12-31,6649.52002,6760.689941,6457.129883,6738.859863,6738.859863,9547200000,IXIC
2019-01-07,6757.529785,6991.370117,6741.399902,6971.47998,6971.47998,11556010000,IXIC
2019-01-14,6908.029785,7185.379883,6887.47998,7157.22998,7157.22998,10709960000,IXIC
2019-01-21,7109.569824,7174.560059,6953.22998,7164.859863,7164.859863,9496500000,IXIC
2019-01-28,7075.009766,7303.120117,7011.470215,7263.870117,7263.870117,12371360000,IXIC
2019-02-04,7266.279785,7410.77002,7225.140137,7298.200195,7298.200195,10913460000,IXIC
2019-02-11,7327.370117,7477.279785,7290.029785,7472.410156,7472.410156,10477050000,IXIC
2019-02-18,7450.75,7527.540039,7430.890137,7527.540039,7527.540039,8839310000,IXIC
2019-02-25,7585.299805,7603.040039,7485.390137,7595.350098,7595.350098,12154480000,IXIC
2019-03-04,7636.620117,7643.660156,7332.919922,7408.140137,7408.140137,11641280000,IXIC
2019-03-11,7442.560059,7714.959961,7442.399902,7688.529785,7688.529785,12378400000,IXIC
2019-03-18,7696.379883,7850.109863,7642.569824,7642.669922,7642.669922,12106360000,IXIC
2019-03-25,7618.97998,7738.169922,7579.290039,7729.319824,7729.319824,10556310000,IXIC
2019-04-01,7800.240234,7940.450195,7777.089844,7938.689941,7938.689941,11038290000,IXIC
2019-04-08,7924.890137,7992.089844,7891.850098,7984.160156,7984.160156,10047170000,IXIC
2019-04-15,7987.160156,8052.399902,7933.569824,7998.060059,7998.060059,8292300000,IXIC
2019-04-22,7969.370117,8151.839844,7965.899902,8146.399902,8146.399902,9908160000,IXIC
2019-04-29,8147.649902,8176.080078,7976.77002,8164,8164,10328940000,IXIC
2019-05-06,7981.850098,8135.540039,7759.339844,7916.939941,7916.939941,11426370000,IXIC
2019-05-13,7720.069824,7946.22998,7627.220215,7816.279785,7816.279785,10862480000,IXIC
2019-05-20,7714.060059,7804.439941,7585.319824,7637.009766,7637.009766,9923790000,IXIC
2019-05-27,7655.660156,7693.740234,7448.22998,7453.149902,7453.149902,8740400000,IXIC
2019-06-03,7441.209961,7767.02002,7292.220215,7742.100098,7742.100098,11198600000,IXIC
2019-06-10,7798.870117,7909.990234,7773.970215,7796.660156,7796.660156,9760110000,IXIC
2019-06-17,7819.430176,8088.879883,7812.609863,8031.709961,8031.709961,11142160000,IXIC
2019-06-24,8040.580078,8047.560059,7879.149902,8006.240234,8006.240234,12404540000,IXIC
2019-07-01,8145.850098,8171.970215,8059.290039,8161.790039,8161.790039,5852820000,IXIC
2019-07-08,8112.910156,8245.660156,8061.319824,8244.139648,8244.139648,7896440000,IXIC
2019-07-15,8263.179688,8264.780273,8135.120117,8146.490234,8146.490234,9459940000,IXIC
2019-07-22,8171.990234,8339.639648,8171.540039,8330.209961,8330.209961,9603020000,IXIC
2019-07-29,8325.099609,8325.280273,7953.669922,8004.069824,8004.069824,11471340000,IXIC
2019-08-05,7823.330078,8041.120117,7662.899902,7959.140137,7959.140137,11931580000,IXIC
2019-08-12,7907.490234,8065.240234,7716.549805,7895.990234,7895.990234,11103930000,IXIC
2019-08-19,8006.180176,8048.580078,7730.77002,7751.77002,7751.77002,9383630000,IXIC
2019-08-26,7829.580078,8017.910156,7766.669922,7962.879883,7962.879883,8626230000,IXIC
2019-09-02,7906.439941,8134.419922,7847.319824,8103.069824,8103.069824,7800190000,IXIC
2019-09-09,8130.910156,8243.799805,8001.680176,8176.709961,8176.709961,10981570000,IXIC
2019-09-16,8121.640137,8237.429688,8086.160156,8117.669922,8117.669922,10906520000,IXIC
2019-09-23,8106.490234,8158.830078,7890.279785,7939.629883,7939.629883,9968550000,IXIC
2019-09-30,7964.089844,8062.5,7700,7982.470215,7982.470215,10423010000,IXIC
2019-10-07,7956.410156,8115.799805,7823.72998,8057.040039,8057.040039,9181750000,IXIC
2019-10-14,8044.350098,8183.640137,8036.410156,8089.540039,8089.540039,9017600000,IXIC
2019-10-21,8137.419922,8249.969727,8078.350098,8243.120117,8243.120117,9182320000,IXIC
2019-10-28,8285.769531,8386.75,8241.700195,8386.400391,8386.400391,10034810000,IXIC
2019-11-04,8445.5,8483.160156,8379.330078,8475.30957,8475.30957,11167410000,IXIC
2019-11-11,8431.259766,8540.830078,8425.480469,8540.830078,8540.830078,10171370000,IXIC
2019-11-18,8529.160156,8589.759766,8468.629883,8519.879883,8519.879883,10651590000,IXIC
2019-11-25,8559.650391,8705.910156,8559.650391,8665.469727,8665.469727,7534310000,IXIC
2019-12-02,8672.839844,8672.839844,8435.400391,8656.530273,8656.530273,10862130000,IXIC
2019-12-09,8650.860352,8768.870117,8600.820313,8734.879883,8734.879883,10656750000,IXIC
2019-12-16,8791.30957,8931.910156,8789.769531,8924.959961,8924.959961,13689690000,IXIC
2019-12-23,8950.200195,9052,8934.360352,9006.620117,9006.620117,6507090000,IXIC
2019-12-30,9004.450195,9093.429688,8909.19043,9020.769531,9020.769531,9640990000,IXIC
2020-01-06,8943.5,9235.200195,8943.5,9178.860352,9178.860352,12518750000,IXIC
2020-01-13,9213.719727,9393.480469,9193.05957,9388.94043,9388.94043,12332160000,IXIC
2020-01-20,9361.070313,9451.429688,9273.230469,9314.910156,9314.910156,10205690000,IXIC
2020-01-27,9092.459961,9329.120117,9088.040039,9150.94043,9150.94043,11983980000,IXIC
2020-02-03,9190.719727,9575.660156,9188.549805,9520.509766,9520.509766,11834370000,IXIC
2020-02-10,9493.629883,9748.320313,9493.629883,9731.179688,9731.179688,11419490000,IXIC
2020-02-17,9679.040039,9838.370117,9542.330078,9576.589844,9576.589844,10214610000,IXIC
2020-02-24,9188.44043,9322.879883,8264.160156,8567.370117,8567.370117,20165480000,IXIC
2020-03-02,8667.139648,9070.320313,8375.129883,8575.620117,8575.620117,20200270000,IXIC
2020-03-09,7957.930176,8347.400391,7194.669922,7874.879883,7874.879883,22988590000,IXIC
2020-03-16,7392.72998,7422.200195,6686.359863,6879.52002,6879.52002,24387290000,IXIC
2020-03-23,6847.279785,7809.830078,6631.419922,7502.379883,7502.379883,21391290000,IXIC
2020-03-30,7583.459961,7880.310059,7288.109863,7373.080078,7373.080078,18479400000,IXIC
2020-04-06,7660.169922,8227.910156,7617.790039,8153.580078,8153.580078,15512910000,IXIC
2020-04-13,8127.689941,8670.299805,8035.950195,8650.139648,8650.139648,18544320000,IXIC
2020-04-20,8553.379883,8684.910156,8215.69043,8634.519531,8634.519531,17986190000,IXIC
2020-04-27,8717.980469,8957.269531,8566.839844,8604.950195,8604.950195,19803440000,IXIC
2020-05-04,8555.320313,9125.980469,8537.830078,9121.320313,9121.320313,18494950000,IXIC
2020-05-11,9054.910156,9250.959961,8705.25,9014.55957,9014.55957,20624450000,IXIC
2020-05-18,9177.150391,9405.25,9154.349609,9324.589844,9324.589844,20123330000,IXIC
2020-05-25,9501.209961,9523.639648,9144.280273,9489.870117,9489.870117,17669040000,IXIC
2020-06-01,9471.419922,9845.69043,9462.320313,9814.080078,9814.080078,25072780000,IXIC
2020-06-08,9823.44043,10086.88965,9413.620117,9588.80957,9588.80957,26190570000,IXIC
2020-06-15,9426.900391,10053.91016,9403,9946.120117,9946.120117,23693060000,IXIC
2020-06-22,9945.490234,10221.84961,9749.070313,9757.219727,9757.219727,27718740000,IXIC
2020-06-29,9771.719727,10310.36035,9663.610352,10207.62988,10207.62988,17393620000,IXIC
2020-07-06,10360.37988,10622.34961,10337.98047,10617.44043,10617.44043,20345500000,IXIC
2020-07-13,10729.91992,10824.78027,10182.45996,10503.19043,10503.19043,22423640000,IXIC
2020-07-20,10526.01953,10839.92969,10217.30957,10363.17969,10363.17969,22334910000,IXIC
2020-07-27,10421.7002,10747.79981,10397.87012,10745.26953,10745.26953,20603620000,IXIC
2020-08-03,10848.63965,11126.04004,10831.15039,11010.98047,11010.98047,20583730000,IXIC
2020-08-10,11033.73047,11124.84961,10762.70996,11019.29981,11019.29981,18974810000,IXIC
2020-08-17,11083.25,11326.20996,11080.29981,11311.79981,11311.79981,17937170000,IXIC
2020-08-24,11449.25,11730.00977,11297.53027,11695.62988,11695.62988,17315540000,IXIC
2020-08-31,11718.80957,12074.05957,10875.87012,11313.12988,11313.12988,19750590000,IXIC
2020-09-07,10900.7002,11299.53027,10728.03027,10853.54981,10853.54981,14827300000,IXIC
2020-09-14,11010.13965,11245.41992,10639.9502,10793.28027,10793.28027,20623790000,IXIC
2020-09-21,10610.13965,10979.65039,10519.49023,10913.55957,10913.55957,19299780000,IXIC
2020-09-28,11084.37988,11344.12988,11019.13965,11075.01953,11075.01953,18848160000,IXIC
2020-10-05,11169.11035,11581.23047,11124.4502,11579.94043,11579.94043,18812100000,IXIC
2020-10-12,11732.33008,11965.54004,11559.09961,11671.55957,11671.55957,17324490000,IXIC
2020-10-19,11732.33984,11778.11035,11369.29004,11548.28027,11548.28027,16932980000,IXIC
2020-10-26,11440.63965,11545.62988,10822.57031,10911.58984,10911.58984,17064360000,IXIC
2020-11-02,11010.4502,11924.28027,10830.9502,11895.23047,11895.23047,17973660000,IXIC
2020-11-09,12046.66016,12108.07031,11424.61035,11829.29004,11829.29004,21863210000,IXIC
2020-11-16,11847.11035,11950.17969,11760.98047,11854.96973,11854.96973,23602770000,IXIC
2020-11-23,11916.75977,12236.23047,11796.53027,12205.84961,12205.84961,19465540000,IXIC
2020-11-30,12224.25,12464.23047,12027.16016,12464.23047,12464.23047,29537740000,IXIC
2020-12-07,12461,12607.13965,12214.74023,12377.87012,12377.87012,23369780000,IXIC
2020-12-14,12447.44043,12809.59961,12432.70996,12755.63965,12755.63965,25480450000,IXIC
2020-12-21,12596.13965,12841.91992,12525.21973,12804.73047,12804.73047,21191830000,IXIC
2020-12-28,12914.63965,12973.33008,12821.23047,12888.28027,12888.28027,19820720000,IXIC
2021-01-04,12958.51953,13208.08984,12543.24023,13201.98047,13201.98047,35100170000,IXIC
2021-01-11,13048.78027,13220.16016,12949.75977,12998.5,12998.5,34204780000,IXIC
2021-01-18,13132.73047,13567.13965,13078.7002,13543.05957,13543.05957,26115360000,IXIC
2021-01-25,13681.20996,13728.98047,12985.04981,13070.69043,13070.69043,42655850000,IXIC
2021-02-01,13226.17969,13878.16016,13132.46973,13856.29981,13856.29981,35636080000,IXIC
2021-02-08,13937.05957,14109.12012,13845.46973,14095.46973,14095.46973,44617630000,IXIC
2021-02-15,14152.20996,14175.12012,13714.34961,13874.45996,13874.45996,28013780000,IXIC
2021-02-22,13714.2002,13757.05957,13003.98047,13192.34961,13192.34961,31930490000,IXIC
2021-03-01,13406.16016,13601.33008,12397.04981,12920.15039,12920.15039,30958600000,IXIC
2021-03-08,12904.25977,13433.62012,12599.23047,13319.86035,13319.86035,29686500000,IXIC
2021-03-15,13323.46973,13620.70996,13039.4502,13215.24023,13215.24023,30154140000,IXIC
2021-03-22,13278.78027,13455.63965,12786.80957,13138.73047,13138.73047,27899070000,IXIC
2021-03-29,13103.96973,13487.08008,12922.57031,13480.11035,13480.11035,19153460000,IXIC
2021-04-05,13594.90039,13905.41016,13582.75977,13900.19043,13900.19043,20597570000,IXIC
2021-04-12,13854.44043,14062.5,13783.9502,14052.33984,14052.33984,21330090000,IXIC
2021-04-19,13984.58008,14062.74023,13698.66992,14016.80957,14016.80957,21275370000,IXIC
2021-04-26,14052.37988,14211.57031,13941.62988,13962.67969,13962.67969,23294070000,IXIC
2021-05-03,14031.76953,14042.12012,13439.38965,13752.24023,13752.24023,24466310000,IXIC
2021-05-10,13687.58984,13687.92969,13002.54004,13429.98047,13429.98047,22935790000,IXIC
2021-05-17,13368.79981,13616.58008,13072.23047,13470.99023,13470.99023,20256610000,IXIC
2021-05-24,13557.20996,13820.87012,13551.00977,13748.74023,13748.74023,21299040000,IXIC
2021-05-31,13829.05957,13836.16992,13548.92969,13814.49023,13814.49023,18924740000,IXIC
2021-06-07,13802.82031,14069.41992,13784.88965,14069.41992,14069.41992,25134490000,IXIC
2021-06-14,14083.46973,14196.20996,13903.73047,14030.37988,14030.37988,24177370000,IXIC
2021-06-21,14047.41992,14414.45996,13960.04004,14360.38965,14360.38965,25057060000,IXIC
2021-06-28,14417.80957,14649.11035,14417.2002,14639.33008,14639.33008,22446620000,IXIC
2021-07-05,14661.54981,14755.33008,14371.58984,14701.91992,14701.91992,17406450000,IXIC
2021-07-12,14743.86035,14803.67969,14413.32031,14427.24023,14427.24023,21422090000,IXIC
2021-07-19,14235.98047,14846.05957,14178.66016,14836.99023,14836.99023,20735140000,IXIC
2021-07-26,14821.03027,14863.65039,14503.75977,14672.67969,14672.67969,20478690000,IXIC
2021-08-02,14758.59961,14896.46973,14584.08984,14835.75977,14835.75977,20421490000,IXIC
2021-08-09,14855.75977,14894.61035,14692.41016,14822.90039,14822.90039,20113470000,IXIC
2021-08-16,14771.53027,14794.67969,14423.16016,14714.66016,14714.66016,19956800000,IXIC
2021-08-23,14776.98047,15144.48047,14776.98047,15129.5,15129.5,18934130000,IXIC
2021-08-30,15165.94043,15380.07031,15165.12012,15363.51953,15363.51953,20162600000,IXIC
2021-09-06,15375.98047,15403.44043,15111.30957,15115.49023,15115.49023,16645800000,IXIC
2021-09-13,15211.42969,15215.44043,14984.67969,15043.96973,15043.96973,24083760000,IXIC
2021-09-20,14758.13965,15085.44043,14530.07031,15047.7002,15047.7002,21295500000,IXIC
2021-09-27,14954.17969,15003.16016,14324.00977,14566.7002,14566.7002,25418990000,IXIC
2021-10-04,14493.12012,14755.71973,14181.69043,14579.54004,14579.54004,20620440000,IXIC
2021-10-11,14540.08008,14904.98047,14441.59961,14897.33984,14897.33984,20306150000,IXIC
2021-10-18,14839.74023,15222.25,14833.28027,15090.2002,15090.2002,23272280000,IXIC
2021-10-25,15142.91992,15504.12012,15070.75,15498.38965,15498.38965,29766610000,IXIC
2021-11-01,15541.25977,16053.38965,15470.82031,15971.58984,15971.58984,26419010000,IXIC
2021-11-08,15995.71973,16038.23047,15543.67969,15860.95996,15860.95996,26421560000,IXIC
2021-11-15,15894.82031,16121.12012,15778.30957,16057.44043,16057.44043,25654580000,IXIC
2021-11-22,16120.91992,16212.23047,15456.08984,15491.66016,15491.66016,18624340000,IXIC
2021-11-29,15719.41992,15833.11035,14931.05957,15085.46973,15085.46973,28925590000,IXIC
2021-12-06,15117.62988,15796.04981,14931.61035,15630.59961,15630.59961,23667670000,IXIC
2021-12-13,15621.26953,15637.05957,14960.37012,15169.67969,15169.67969,27177270000,IXIC
2021-12-20,14933,15697.98047,14860.04004,15653.37012,15653.37012,17122080000,IXIC
2021-12-27,15696.83008,15901.46973,15643.94043,15644.96973,15644.96973,18160800000,IXIC
